symbol,company_name,sector,sub_industry,headquarters,founded,price,pe_ratio,dividend_yield,eps,week_low_52,week_high_52,market_cap,ebitda,price_to_sales,price_to_book
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012 (1917),201.45,19.615383,0.0256,10.27,118.07,201.655,80768352256.0,7040000000.0,0.60057074,2.831183
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",1985,109.0,20.335821,0.0335,5.36,85.32,110.41,13209401344.0,2133831040.0,2.4205208,1.8688384
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1845,251.88,14.627178,0.0316,17.22,176.88,256.2164,101146099712.0,,4.3896403,1.753575
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883,114.66,16.3101,0.0249,7.03,93.39,133.43,25557714944.0,2712999936.0,1.5853678,3.1537259
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920,36.1,22.147238,0.0316,1.63,33.17,40.11,27159846912.0,3652000000.0,2.9166503,1.8079832
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1879,112.92,16.17765,0.0289,6.93,75.0,114.9,24392118272.0,2187099904.0,1.5778893,2.0686243
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837,146.08,21.356726,0.0287,6.84,137.62,167.25,340161757184.0,25041999872.0,3.9226654,6.3290153
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937,226.58,11.530789,0.0593,19.65,189.2,254.93,131914874880.0,15148999680.0,1.4753103,4.130074
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1983,142.49,35.71178,0.0301,3.99,103.41,150.18,135949148160.0,6560574976.0,14.499521,2.4858255
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1875,114.79,11.821834,0.0482,9.71,91.89,119.76,39869452288.0,5103249920.0,0.6299586,1.2468907
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1903,80.5,17.88889,0.0331,4.5,76.05,91.26,40114872320.0,4794999808.0,3.1354442,2.3168802
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",1985,122.51,11.768492,,10.41,108.5,219.69,14150615040.0,1319337984.0,4.7202387,3.665879
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",1972,318.93,32.913315,0.0373,9.69,256.54,331.79,55997616128.0,3436876032.0,11.494984,11.485936
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956,124.56,11.965418,0.0084,10.41,107.16,144.5,23726979072.0,2943536896.0,1.4099807,1.8343544
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1997,660.94,90.41587,0.0007,7.31,363.01,788.75,99180748800.0,2659121920.0,3.2927277,10.9655905
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1985,178.1,19.171152,0.02,9.29,121.99,259.92,187717402624.0,12999000064.0,4.219696,6.914357
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1967,206.0,22.787611,0.0166,9.04,164.65,219.2,22803464192.0,2225999872.0,2.0219421,3.1042798
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967,368.97,24.813047,0.01,14.87,273.04,421.6,21959745536.0,1520300032.0,2.7062352,7.804264
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962,167.43,15.765536,0.0129,10.62,138.82,177.66,32629266432.0,,2.2162104,2.5932405
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922,193.39,36.3515,0.0149,5.32,143.56,214.5,260435099648.0,15262999552.0,2.8817801,3.9293334
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",1969,63.77,52.702477,0.0507,1.21,55.86,67.94,59465048064.0,5231514112.0,10.029117,1.5189844
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",1963,80.33,27.510273,0.0378,2.92,66.86,81.93,15016486912.0,1050718016.0,9.098315,2.1996768
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",1988,656.12,16.010736,0.0057,40.98,541.0,821.11,68786987008.0,4382799872.0,4.6105113,2.128014
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1971,30.92,12.829875,0.0341,2.41,22.7,31.53,26386495488.0,,3.6760235,1.5146469
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998 (1981),220.03,32.074345,0.0112,6.86,196.41,246.25,67695329280.0,5194999808.0,4.0548267,5.65688
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",1989,193.01,18.630308,0.0121,10.36,180.27,293.81,27997331456.0,2119501056.0,5.055688,4.3122053
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937,111.21,53.466347,0.0025,2.08,81.22,118.3,12406562816.0,855235008.0,4.274577,1.7283393
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903,469.77,47.838085,0.012,9.82,305.44,497.36,52273164288.0,1968999936.0,5.9374337,14.841716
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948,44.29,40.633026,0.0163,1.09,41.5,66.14,21324025856.0,860139008.0,5.5459538,15.432056
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981,346.65,21.652092,0.0101,16.01,305.96,566.24,34983002112.0,3194700032.0,4.310906,1.8863252
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",1982,220.93,30.8993,0.0081,7.15,126.32,242.81,70870163456.0,3430964992.0,2.9807358,11.248981
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997,283.09,17.272118,0.0173,16.39,232.1,366.5,75923316736.0,6902000128.0,4.1289597,7.7393517
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1917,438.87,27.706438,0.0089,15.84,361.03122,547.82404,129905516544.0,7872999936.0,8.258456,4.167252
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1999,167.56,19.41599,0.0103,8.45,146.32,274.0,137231638528.0,12894999552.0,3.2041755,4.008517
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1989,187.25,19.710526,0.0267,9.52,162.41,243.16,19860299776.0,1827740032.0,6.9579573,-4.1796875
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1926,47.54,20.850878,0.0249,2.28,31.64,58.82,71075045376.0,7510000128.0,1.9776578,2.715175
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979,878.31,81.9319,0.0034,10.72,138.3,1145.0,196942561280.0,3513999872.0,18.049,179.98155
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",1998,93.36,32.193104,0.0279,2.9,73.85,101.04,61030121472.0,5618999808.0,4.5024066,1.8919849
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2003,104.85,62.410717,,1.68,81.24,210.2,108132646912.0,2888000000.0,7.745892,9.220015
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1866,328.5,31.647398,0.0097,10.38,289.86,379.65,81019797504.0,4557400064.0,3.3849218,18.178297
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2003,221.28,15.271222,0.0401,14.49,159.33,229.59,84081885184.0,4915057152.0,12.646581,14.892987
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2002,56.58,23.575,0.0488,2.4,51.93,90.9,8509969920.0,909100032.0,2.1041887,1.4758974
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897,108.81,,0.0398,-1.28,88.25,119.39,11629687808.0,1926000000.0,1.2849206,2.0935066
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",1934,42.91,59.59722,0.0419,0.72,32.729,52.65,22504753152.0,4769999872.0,0.7204979,1.2445617
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1920,404.62,20.889002,0.0243,19.37,310.23,414.62,20960090112.0,1403900032.0,4.01442,3.5174866
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2023,76.28,9.475776,,8.05,62.38,88.2,13209767936.0,1124000000.0,1.5988584,2.6638727
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1945,95.96,24.668379,0.0315,3.89,83.8,100.84,108175810560.0,13973999616.0,3.584948,2.91406
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1967,47.56,31.919464,0.015,1.49,28.98,55.11,23246080000.0,2212999936.0,0.8048082,3.381203
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1843,87.37,35.807377,0.0384,2.46,61.9,95.16,13582153728.0,1671500032.0,0.8916738,1.5129005
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",1971,106.17,81.669235,0.0231,1.3,77.99,108.88,121001943040.0,5395299840.0,3.145228,-14.291291
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792,183.65,18.075787,0.0189,10.16,101.98,184.59,50828263424.0,,3.5314572,2.1107254
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",1993,233.35,25.118408,0.009,9.29,119.89,288.74,33652054016.0,2315760128.0,1.7700201,3.677757
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1985,208.73,26.354797,0.0116,7.92,195.14,269.44,20342341632.0,1597900032.0,3.427002,2.8417196
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",1941,311.07,35.961853,0.0106,8.65,281.0,404.87,119252033536.0,6918000128.0,4.719115,5.189603
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1993,27.65,14.552631,,1.9,19.48,62.36,17886038016.0,1578648960.0,0.5307397,2.194967
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2003,73.68,7.6273293,0.0164,9.66,63.08,88.77,24783759360.0,,2.5054348,1.6276759
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",1986,425.9,97.23744,,4.38,376.18,651.73,81551048704.0,1696253056.0,9.395953,2.6752343
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1969,82.85,23.01389,0.0264,3.6,68.19,91.85,39617425408.0,4565000192.0,0.4740798,17.246044
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994,187.13,20.035332,0.0217,9.34,165.66,261.56,202512957440.0,33884999680.0,2.2369707,3.636417
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937,116.07,12.453863,0.0458,9.32,85.22,121.17,24869924864.0,2928600064.0,3.3572166,2.31418
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",1993,237.04,,,-1.56,187.63,265.94,44010422272.0,788499968.0,6.6117454,12.517294
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2017,135.36,41.26829,0.0118,3.28,92.62,161.97,27348772864.0,1970400000.0,3.483565,40.130447
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2005,281.6,28.793457,0.0152,9.78,144.14,282.5669,60443725824.0,5217399808.0,3.6496527,19.278429
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1902,134.0,17.795485,0.0344,7.53,83.44,142.82,60861607936.0,8344000000.0,0.5721313,3.712117
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",2007,200.98,20.239677,0.015,9.93,173.54,252.56,58665218048.0,4730999808.0,3.1378486,4.4366446
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1960,623.1,31.613394,,19.71,483.02,693.38,28867684352.0,1538300032.0,4.636932,2.696772
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",1960,353.23,65.534325,0.0015,5.39,88.6,487.91,55295389696.0,1161465984.0,14.6019945,17.588509
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2003,396.18,356.9189,,1.11,297.82,498.83,1487942582272.0,11093999616.0,15.201858,18.09289
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1930,305.55,51.010017,0.019,5.99,152.73,334.03,278078849024.0,8664999936.0,15.081833,16.572653
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1923,89.5,17.080153,0.0009,5.24,75.8,101.57,15563063296.0,1684000000.0,1.0246947,1.944553
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006 (1902),534.07,29.072945,0.0036,18.37,403.36,643.99,198471876608.0,11296000000.0,4.391262,3.82161
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987,150.34,29.306042,0.0128,5.13,119.84,170.0,166081249280.0,8835000320.0,2.6968248,15.969832
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",1938,30.55,15.049261,0.0317,2.03,28.36,63.99,16021935104.0,1952216064.0,1.0238221,6.3872046
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",1871,483.55,36.912212,0.0088,13.1,348.06,505.87,106891370496.0,4233400064.0,4.9480333,12.450755
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993,1215.34,37.991245,,31.99,1123.61,1623.83,67978321920.0,4850999808.0,7.153354,-7.394063
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",1853,336.83,10.194612,0.0146,33.04,249.19,349.35,71625105408.0,10574000128.0,1.4634691,2.2387872
TRMB,Trimble Inc.,Information Technology,Application Software,"Westminster, Colorado",1978,51.58,27.43617,,1.88,47.92,87.5,12023892992.0,866899968.0,3.2615128,2.1200166
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1872,51.95,12.8589115,0.04,4.04,40.78,56.2,64723431424.0,,3.4691234,1.0915012
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",1966,301.29,43.476192,,6.93,270.71,621.34,12395238400.0,454520000.0,5.2066,3.594145
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",1935,57.48,45.259842,0.0352,1.27,50.56,69.48,20240398336.0,2710000128.0,0.36331716,1.118375
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1968,62.14,13.027253,0.0334,4.77,43.46,63.39,96797450240.0,,3.6325836,1.6554333
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2009,72.08,18.434782,,3.91,67.19,101.99,146725978112.0,7020000256.0,2.7329888,5.9305577
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",1972,39.97,27.190477,0.0431,1.47,32.94,42.0,14809510912.0,1045686976.0,8.382641,4.0170856
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",1990,469.12,17.729403,,26.46,443.6,714.97,20167145472.0,1889405056.0,1.5869259,7.3906264
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1862,288.3,23.80677,0.0191,12.11,210.84,291.45,171167514624.0,12586000384.0,6.9298587,8.814357
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",1967,120.35,10.764758,,11.18,82.42,138.77,39061966848.0,7885000192.0,0.6460261,2.4606922
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1907,113.67,18.27492,0.0581,6.22,82.0,122.41,96620208128.0,11834000384.0,1.094016,5.947261
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1997,1065.83,27.203419,0.0073,38.48,701.59,1143.69,66770575360.0,4546999808.0,4.0800843,7.4553895
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Eden Prairie, Minnesota",1977,425.19,32.06561,0.0216,13.26,234.6,434.3,386133917696.0,21464000512.0,0.85862297,3.9443219
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1979,144.23,6.022129,0.0052,22.62,140.08,246.33,8731157504.0,2667874048.0,0.49161118,1.1696347
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980,301.43,21.592407,0.0162,13.96,130.78,301.43,89504440320.0,9203000320.0,0.7595356,3.7496889
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",1998,92.4,168.0,0.0217,0.55,64.75,94.6,44922085376.0,2288324096.0,7.3487983,3.4220955
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023,91.9,23.685566,0.0056,3.84,80.03,110.11,22570571776.0,1378000000.0,4.035504,7.5112386
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",1995,268.85,29.674393,0.012,9.01,208.86,312.48,24465350656.0,1172099968.0,14.535023,-11.065608
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1971,190.54,29.00152,0.0103,6.57,155.94,305.73,24964900864.0,1508099968.0,8.047223,-21.377762
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983 (1877),42.47,10.409314,0.0663,4.08,38.39,51.68,177335992320.0,51101999104.0,1.2744598,1.716584
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",1989,476.31,28.487442,,16.72,362.5,533.67,120890064896.0,4981199872.0,9.8944235,6.2525105
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1961,16.31,,0.0293,-0.3,8.63,17.53,18993854464.0,4125199872.0,1.30429,1.2956784
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2017,26.28,9.030928,0.0682,2.91,25.815,34.01,28936388608.0,3990516992.0,7.161705,0.9966249
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",1958,356.02,31.147854,0.0075,11.43,293.89,365.02,677058772992.0,30143000576.0,15.735672,19.097736
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2016,158.43,26.493309,0.0058,5.99,132.66,219.82,53419814912.0,6790000128.0,2.7472262,17.160961
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1909,291.89,34.62515,0.0071,8.43,252.35,331.09,37874155520.0,2350599936.0,4.697628,4.471628
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967,71.98,15.647827,0.0054,4.6,62.87,78.96,26796480512.0,2580321024.0,1.8043807,2.8828902
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1927,1371.07,37.450695,0.0067,36.61,906.52,1403.505,64732491776.0,3084999936.0,3.5222816,16.476236
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",1999 (1869),262.02,36.904224,0.0048,7.1,184.26,284.91,44458856448.0,2520000000.0,3.8636355,4.009487
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1962,113.7,40.03521,0.0086,2.84,94.43,135.16,904833531904.0,44837998592.0,1.2475214,9.596557
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1923,95.87,15.3392,0.0156,6.25,92.19,123.4,166479364096.0,19719999488.0,1.7116412,1.5389184
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022 (Warner Bros. 1923),27.48,,,-0.71,10.76,30.0,68896120832.0,7584000000.0,1.8515484,2.1146595
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1968,234.27,33.90304,0.015,6.91,194.11,248.13,94077149184.0,7662000128.0,3.7019303,9.40428
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1958,376.39,47.825924,,7.87,275.05,414.15,36956176384.0,1135047936.0,9.801955,2.4162107
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",1896,115.05,23.056114,0.0329,4.99,102.95,119.91,37474738176.0,3932499968.0,3.7159622,2.7504842
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1852,85.29,13.559619,0.0205,6.29,72.78,97.76,261003558912.0,,3.2169046,1.6033764
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1970,236.0,113.46154,0.0126,2.08,155.33,239.11,166595805184.0,2988736000.0,14.158035,3.7975092
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",1923,357.65,48.071236,0.0024,7.44,206.8,367.66,25267109888.0,869900032.0,7.8444924,8.479539
